Rank	Gene	PredictionScore
4539	STOML1	0.152
4540	KLF13	0.152
4541	SHANK1	0.152
4542	CACFD1	0.152
4543	NEK9	0.152
4544	SVIP	0.152
4545	LYSMD4	0.152
4546	DTD2	0.152
4547	TMCO6	0.152
4548	UBE2N	0.152
4549	RLTPR	0.152
4550	ZNF778	0.152
4551	SEMA3C	0.152
4552	QSER1	0.152
4553	AIFM3	0.152
4554	TBC1D5	0.152
4555	RAB8B	0.152
4556	PPP2CB	0.152
4557	GPR137C	0.152
4558	GPSM2	0.152
4559	CNTNAP5	0.152
4560	IRAK2	0.152
4561	CHML	0.152
4562	UST	0.152
4563	RND3	0.152
4564	CDKN1B	0.152
4565	WNK4	0.152
4566	RIT2	0.152
4567	ZNF506	0.152
4568	TXLNG	0.152
4569	XRN2	0.152
4570	RBBP4	0.152
4571	GEMIN5	0.152
4572	ZNF587	0.151
4573	MYLK4	0.151
4574	ANKRD54	0.151
4575	MAP4K4	0.151
4576	ASF1A	0.151
4577	PRKCZ	0.151
4578	TMEM145	0.151
4579	RUNDC1	0.151
4580	LRRC37A3	0.151
4581	USP53	0.151
4582	PARP11	0.151
4583	TOM1L2	0.151
4584	IFFO2	0.151
4585	CDC14B	0.151
4586	ARL4C	0.151
4587	USP11	0.151
4588	ARMC2	0.151
4589	HDAC2	0.151
4590	NEK11	0.151
4591	LPIN1	0.151
4592	GTF2IRD1	0.151
4593	SETD8	0.151
4594	MGAT4B	0.151
4595	FA2H	0.151
4596	VKORC1L1	0.151
4597	C18ORF54	0.151
4598	MAML1	0.151
4599	TMEM117	0.151
4600	MAP7D1	0.151
4601	KLHL18	0.15
4602	LSM14A	0.15
4603	PRPF38A	0.15
4604	NUP210	0.15
4605	HPS4	0.15
4606	EIF1AX	0.15
4607	PKD1	0.15
4608	SLC17A5	0.15
4609	ATM	0.15
4610	USH1G	0.15
4611	PDCL	0.15
4612	ZNF177	0.15
4613	ATP13A5	0.15
4614	C5ORF54	0.15
4615	AGPAT1	0.15
4616	RBM14	0.15
4617	CSNK1D	0.15
4618	STK36	0.15
4619	RET	0.15
4620	ARMCX1	0.15
4621	SLC9A6	0.15
4622	SLC4A3	0.15
4623	ZNF300	0.15
4624	RERGL	0.15
4625	PTOV1	0.15
4626	FBXO48	0.15
4627	KLHL4	0.15
4628	CERK	0.15
4629	FGFBP3	0.15
4630	RNF168	0.15
4631	PRCC	0.15
4632	PRCD	0.15
4633	ASB1	0.15
4634	AHI1	0.15
4635	AMPD2	0.15
4636	TRIM37	0.15
4637	TMEM184B	0.15
4638	GTF2IRD2	0.15
4639	NPM2	0.15
4640	OTUD3	0.15
4641	PHF16	0.15
4642	CEP170B	0.15
4643	C6ORF106	0.15
4644	RYR1	0.15
4645	CPNE1	0.149
4646	RUNDC3A	0.149
4647	KIAA0195	0.149
4648	GTF3C2	0.149
4649	ZNF432	0.149
4650	N4BP2	0.149
4651	PTAR1	0.149
4652	RNF40	0.149
4653	DCP2	0.149
4654	SOCS6	0.149
4655	ECEL1	0.149
4656	LIN52	0.149
4657	C10ORF35	0.149
4658	MKLN1	0.149
4659	DENND5A	0.149
4660	SLC13A5	0.149
4661	SPTB	0.149
4662	AGAP8	0.149
4663	PIAS4	0.149
4664	SLC35A5	0.149
4665	TBC1D4	0.149
4666	TTC24	0.148
4667	ARHGDIG	0.148
4668	KCNJ12	0.148
4669	VRK3	0.148
4670	ATP6V1G2	0.148
4671	DR1	0.148
4672	BEX5	0.148
4673	NUP160	0.148
4674	GRIN2C	0.148
4675	GNAQ	0.148
4676	KLF16	0.148
4677	IFT140	0.148
4678	EBF3	0.148
4679	RHOF	0.148
4680	CCDC106	0.148
4681	BID	0.148
4682	RAB23	0.148
4683	SFMBT2	0.148
4684	OR8D2	0.148
4685	SEMA5B	0.148
4686	LRRC6	0.148
4687	CCNC	0.148
4688	DYNC1I2	0.148
4689	CMTM5	0.148
4690	G3BP1	0.148
4691	PKDCC	0.148
4692	ZBTB8A	0.148
4693	CENPV	0.148
4694	ZNF507	0.148
4695	5-Sep	0.148
4696	H1FX	0.148
4697	CNKSR3	0.148
4698	NOM1	0.148
4699	C7ORF63	0.148
4700	ZNF700	0.147
4701	RAB40B	0.147
4702	MSI1	0.147
4703	RNF128	0.147
4704	TESC	0.147
4705	NOC2L	0.147
4706	SYNDIG1L	0.147
4707	USP19	0.147
4708	C11ORF87	0.147
4709	OGFOD1	0.147
4710	TMEM201	0.147
4711	HEATR1	0.147
4712	ANKRD63	0.147
4713	INTS3	0.147
4714	NFYC	0.147
4715	TBC1D22B	0.147
4716	RCOR2	0.147
4717	NPTXR	0.147
4718	FAM160B2	0.147
4719	NACC1	0.147
4720	SLC18A2	0.147
4721	TMEM63B	0.147
4722	AMER3	0.147
4723	WIF1	0.147
4724	DDX19B	0.147
4725	CCDC120	0.147
4726	PDXK	0.147
4727	LRRFIP2	0.147
4728	SLITRK6	0.147
4729	CEP78	0.147
4730	CTNND1	0.147
4731	SNTB2	0.147
4732	SERBP1	0.147
4733	HIVEP3	0.147
4734	CRHR1	0.147
4735	MRGPRX4	0.147
4736	C5ORF24	0.147
4737	TOLLIP	0.147
4738	AKAP12	0.147
4739	ZNF14	0.147
4740	RGS12	0.147
4741	RGS13	0.147
4742	LRRC28	0.146
4743	ZBTB3	0.146
4744	PPFIBP1	0.146
4745	C6ORF170	0.146
4746	CTXN3	0.146
4747	FBXO42	0.146
4748	ZBTB7A	0.146
4749	MDM4	0.146
4750	AMIGO2	0.146
4751	CGREF1	0.146
4752	RGL1	0.146
4753	NPY2R	0.146
4754	ZCCHC24	0.146
4755	CCDC82	0.146
4756	DIS3L2	0.146
4757	SLC37A3	0.146
4758	PMEPA1	0.146
4759	ZNF652	0.146
4760	MORF4L2	0.146
4761	SIRPA	0.146
4762	LRRC55	0.146
4763	PPP1R37	0.146
4764	ZRANB3	0.146
4765	KCTD20	0.146
4766	MBP	0.146
4767	CTBP1	0.146
4768	ZNF175	0.146
4769	ZMYM1	0.146
4770	EXOC1	0.146
4771	ZNF337	0.146
4772	GPR19	0.146
4773	GFM2	0.146
4774	MT3	0.146
4775	ZNF157	0.145
4776	ST6GALNAC6	0.145
4777	CHST8	0.145
4778	TOMM34	0.145
4779	PDP2	0.145
4780	LIMK2	0.145
4781	CYP26B1	0.145
4782	ARMC3	0.145
4783	THAP5	0.145
4784	CEP164	0.145
4785	AHCYL1	0.145
4786	SPAG6	0.145
4787	MYO3A	0.145
4788	ATP2A2	0.145
4789	FAM214B	0.145
4790	MLH3	0.145
4791	RNF6	0.145
4792	NR1D1	0.145
4793	TAF1C	0.145
4794	PLP1	0.145
4795	MMAB	0.145
4796	TMEM88B	0.145
4797	GFPT1	0.145
4798	OSTM1	0.145
4799	FGFR3	0.145
4800	KCMF1	0.145
4801	BEAN1	0.145
4802	ANKRD9	0.145
4803	PPOX	0.145
4804	LRRC30	0.145
4805	LRRK2	0.145
4806	HEPACAM	0.145
4807	INSC	0.145
4808	ZBTB24	0.145
4809	PELI3	0.145
4810	VPRBP	0.145
4811	OR6B1	0.145
4812	FRZB	0.145
4813	MGAT4A	0.145
4814	MPV17L	0.145
4815	MED25	0.145
4816	CAPN3	0.145
4817	TENM1	0.145
4818	STK10	0.145
4819	IGFBPL1	0.144
4820	KCNA3	0.144
4821	EXPH5	0.144
4822	ENHO	0.144
4823	RNF126	0.144
4824	GNB1	0.144
4825	RPGRIP1L	0.144
4826	NHLH2	0.144
4827	OPA1	0.144
4828	ARHGAP23	0.144
4829	ZNF579	0.144
4830	PLGLB1	0.144
4831	KIAA0894	0.144
4832	CDR2L	0.144
4833	UTP20	0.144
4834	FADS6	0.144
4835	ZNF253	0.144
4836	SH3BGRL2	0.144
4837	CDS2	0.144
4838	ZNF678	0.144
4839	INPP5B	0.144
4840	ANO5	0.144
4841	THY1	0.144
4842	STAMBP	0.144
4843	FOXRED2	0.144
4844	TMEM59L	0.144
4845	INHA	0.144
4846	TECRL	0.144
4847	TSEN2	0.144
4848	CLDN11	0.144
4849	SMPD4	0.143
4850	AGPAT3	0.143
4851	MBD4	0.143
4852	UNK	0.143
4853	CEACAM19	0.143
4854	SFI1	0.143
4855	CD47	0.143
4856	WDR75	0.143
4857	SUMO4	0.143
4858	RGL2	0.143
4859	UIMC1	0.143
4860	AASDH	0.143
4861	ANKMY2	0.143
4862	SYTL5	0.143
4863	SSB	0.143
4864	SH3GLB2	0.143
4865	ZNF142	0.143
4866	NET1	0.143
4867	VPS54	0.143
4868	SPTSSB	0.143
4869	CAND2	0.143
4870	INTS1	0.143
4871	DACT3	0.143
4872	KIR3DL2	0.143
4873	CAPS2	0.143
4874	ZNF675	0.143
4875	ANKRD39	0.143
4876	SORT1	0.143
4877	OR4D2	0.143
4878	DDX39B	0.143
4879	LRRC2	0.143
4880	5-Mar	0.143
4881	ZNF274	0.143
4882	DLG1	0.143
4883	FBXO27	0.143
4884	ZNF365	0.143
4885	SLC35E3	0.143
4886	TMED7	0.143
4887	HNRNPM	0.143
4888	ADARB2	0.143
4889	DHX15	0.143
4890	ANKH	0.143
4891	DHX35	0.143
4892	TRAPPC11	0.143
4893	RAD23B	0.143
4894	DHFRL1	0.143
4895	FBXO16	0.142
4896	ADAM10	0.142
4897	ASTN2	0.142
4898	KDM1B	0.142
4899	C9ORF91	0.142
4900	TTC13	0.142
4901	PPM1F	0.142
4902	TARM1	0.142
4903	AMER2	0.142
4904	ZBTB45	0.142
4905	TRIM52	0.142
4906	CEP41	0.142
4907	CCDC43	0.142
4908	TMEM257	0.142
4909	SRSF3	0.142
4910	DNAJA1	0.142
4911	DPF2	0.142
4912	CCDC59	0.142
4913	PTP4A3	0.142
4914	HAUS2	0.142
4915	SMCR7L	0.142
4916	PRKAA1	0.142
4917	RAP2C	0.142
4918	DKFZP434I0714	0.142
4919	SEC14L5	0.142
4920	FAF2	0.142
4921	ZNF404	0.142
4922	FASTKD1	0.142
4923	SGK3	0.142
4924	PRKDC	0.142
4925	SUMO2	0.142
4926	ZBTB2	0.142
4927	TENM4	0.142
4928	YIPF6	0.142
4929	DENND4C	0.141
4930	SRL	0.141
4931	PXDN	0.141
4932	NACC2	0.141
4933	RRP1B	0.141
4934	GTPBP3	0.141
4935	KCTD17	0.141
4936	ZNF124	0.141
4937	OR13C4	0.141
4938	BMI1	0.141
4939	PCBP4	0.141
4940	AGPAT5	0.141
4941	NFRKB	0.141
4942	HELQ	0.141
4943	IFITM10	0.141
4944	KLF10	0.141
4945	PCNT	0.141
4946	COPS7B	0.141
4947	WDR20	0.141
4948	NDST1	0.141
4949	ELOVL7	0.141
4950	JOSD1	0.141
4951	TENM3	0.141
4952	LUC7L	0.141
4953	HDAC11	0.141
4954	C2ORF72	0.141
4955	ZNF280D	0.141
4956	PIP4K2C	0.141
4957	OR5L2	0.141
4958	MORF4L1	0.141
4959	GABRG3	0.141
4960	SEMA3A	0.141
4961	ZNF317	0.141
4962	ZNF84	0.141
4963	FBXO25	0.141
4964	NLRP4	0.141
4965	LNX2	0.141
4966	XPO5	0.141
4967	GTF2H3	0.141
4968	TARBP1	0.141
4969	DHX37	0.141
4970	OR51I2	0.141
4971	TTC30B	0.14
4972	SRF	0.14
4973	KLHDC3	0.14
4974	IARS	0.14
4975	KIAA1432	0.14
4976	GAS2L1	0.14
4977	ZNF439	0.14
4978	CHN1	0.14
4979	NSUN3	0.14
4980	ALG9	0.14
4981	FIG4	0.14
4982	ABHD8	0.14
4983	ABHD3	0.14
4984	FANCG	0.14
4985	JUP	0.14
4986	RRP12	0.14
4987	MYO6	0.14
4988	C2ORF44	0.14
4989	DLD	0.14
4990	CXORF24	0.14
4991	DNAL4	0.14
4992	VPS37B	0.14
4993	NF2	0.14
4994	LSM12	0.14
4995	SPATA5L1	0.14
4996	POLDIP3	0.14
4997	C1ORF115	0.14
4998	ANKRD24	0.14
4999	ZNF621	0.14
5000	CORO6	0.14
5001	GLMN	0.14
5002	KANSL3	0.14
5003	GOLGA3	0.14
5004	ELMOD2	0.14
5005	ZRSR2	0.14
5006	C10ORF88	0.14
5007	EBF4	0.14
5008	EBF1	0.14
5009	MLLT6	0.14
5010	GNAI1	0.14
5011	KLHL12	0.14
5012	BCORL1	0.14
5013	AMY2B	0.14
5014	GPR82	0.14
5015	PYROXD1	0.14
5016	SYT14	0.14
5017	VPS35	0.14
5018	FAM20C	0.14
5019	SP1	0.139
5020	GGA1	0.139
5021	ATG16L2	0.139
5022	FOXP4	0.139
5023	CHORDC1	0.139
5024	SMARCE1	0.139
5025	SLC38A8	0.139
5026	REPIN1	0.139
5027	SP2	0.139
5028	SMG5	0.139
5029	ITPK1	0.139
5030	KRBA1	0.139
5031	AP4B1	0.139
5032	MICU1	0.139
5033	RAB37	0.139
5034	NUP155	0.139
5035	C16ORF52	0.139
5036	ITFG2	0.139
5037	PCYOX1	0.139
5038	CCDC3	0.139
5039	FBRS	0.139
5040	EPHB6	0.139
5041	PUS10	0.139
5042	EIF2AK3	0.139
5043	NUDT12	0.139
5044	SPATS2L	0.139
5045	UFL1	0.139
5046	DLEU2L	0.139
5047	RILPL1	0.139
5048	OR8B8	0.139
5049	LOR	0.139
5050	MLKL	0.139
5051	MCMBP	0.139
5052	DUSP3	0.139
5053	E4F1	0.139
5054	HSPBAP1	0.139
5055	MAP2K4	0.139
5056	IPO13	0.138
5057	NDN	0.138
5058	PCIF1	0.138
5059	PELP1	0.138
5060	SERTAD2	0.138
5061	PKN1	0.138
5062	FYN	0.138
5063	MED17	0.138
5064	KIAA0895L	0.138
5065	ENY2	0.138
5066	PRUNE2	0.138
5067	GPBP1L1	0.138
5068	HNRNPL	0.138
5069	EPS8	0.138
5070	C10ORF118	0.138
5071	TBC1D10B	0.138
5072	DGCR2	0.138
5073	SF3B4	0.138
5074	ZNF227	0.138
5075	ANKRD49	0.138
5076	RNF215	0.138
5077	EPHB2	0.138
5078	SLC2A6	0.138
5079	ZNF850	0.138
5080	STS	0.138
5081	PCED1A	0.138
5082	SALL3	0.138
5083	RGS6	0.138
5084	IDI1	0.138
5085	RCCD1	0.138
5086	CDO1	0.138
5087	SNX15	0.138
5088	OR51I1	0.138
5089	YIPF4	0.138
5090	SYNJ2	0.137
5091	TIGD1	0.137
5092	FRRS1L	0.137
5093	ZNF92	0.137
5094	ZHX3	0.137
5095	ZNF789	0.137
5096	FAM200B	0.137
5097	MAPK14	0.137
5098	KIAA1161	0.137
5099	TRPV2	0.137
5100	MMS19	0.137
5101	NTN4	0.137
5102	STK24	0.137
5103	MED19	0.137
5104	SRRT	0.137
5105	NBPF24	0.137
5106	ATXN7L2	0.137
5107	MAPK7	0.137
5108	CASP2	0.137
5109	TRMT11	0.137
5110	GABARAPL3	0.137
5111	LAS1L	0.137
5112	OSBPL11	0.137
5113	C3ORF14	0.137
5114	DHX8	0.137
5115	ATP11C	0.137
5116	FKBP8	0.137
5117	ABCA7	0.137
5118	ZNF267	0.137
5119	TMOD1	0.137
5120	ZNF8	0.137
5121	GOLGA8B	0.137
5122	POM121C	0.137
5123	FAM204A	0.137
5124	RAB2A	0.137
5125	MYLIP	0.137
5126	SUPT7L	0.137
5127	RGS22	0.137
5128	C8ORF44	0.137
5129	PAPSS1	0.137
5130	ZNF665	0.137
5131	ZNF569	0.137
5132	ETV3	0.137
5133	BRF1	0.136
5134	NOL9	0.136
5135	HPCAL1	0.136
5136	NRD1	0.136
5137	HIRA	0.136
5138	RIN2	0.136
5139	THAP1	0.136
5140	SYNGR1	0.136
5141	GCFC2	0.136
5142	CCNO	0.136
5143	ZNF555	0.136
5144	TAB2	0.136
5145	MCF2L2	0.136
5146	FCRLB	0.136
5147	SYVN1	0.136
5148	CSE1L	0.136
5149	C11ORF30	0.136
5150	ZNF254	0.136
5151	FURIN	0.136
5152	MID1	0.136
5153	PIK3C3	0.136
5154	LRRC34	0.136
5155	FBXO46	0.136
5156	SLC45A1	0.136
5157	AGGF1	0.136
5158	ENTPD4	0.136
5159	FBXW2	0.136
5160	RNF187	0.136
5161	WDR6	0.136
5162	SH2D3C	0.136
5163	DUS3L	0.136
5164	RASGRP2	0.136
5165	ST8SIA5	0.136
5166	UGGT1	0.136
5167	PCYOX1L	0.136
5168	CPSF1	0.136
5169	BTBD6	0.136
5170	PCDHB15	0.136
5171	ZNF618	0.136
5172	PDE12	0.136
5173	GULP1	0.136
5174	HTR1A	0.136
5175	IGSF9B	0.136
5176	OR1J4	0.136
5177	BLZF1	0.136
5178	FAM76A	0.136
5179	CSGALNACT2	0.136
5180	PNPT1	0.136
5181	TPRN	0.135
5182	CDKAL1	0.135
5183	RSPH9	0.135
5184	ZNF3	0.135
5185	EFHC1	0.135
5186	NCL	0.135
5187	PTK2	0.135
5188	CLPX	0.135
5189	KRT1	0.135
5190	GPR101	0.135
5191	CLTB	0.135
5192	CAMLG	0.135
5193	ANKDD1A	0.135
5194	RBMX2	0.135
5195	ZNF770	0.135
5196	CA4	0.135
5197	LYNX1	0.135
5198	FAN1	0.135
5199	ZNF862	0.135
5200	RBBP9	0.135
5201	MOB4	0.135
5202	FRMPD1	0.135
5203	DUSP12	0.135
5204	CHPF	0.135
5205	NBAS	0.135
5206	SGPP2	0.135
5207	PCDHB7	0.135
5208	PSAT1	0.135
5209	TBC1D9B	0.135
5210	TMEM67	0.135
5211	KCNQ4	0.135
5212	PLEKHA3	0.135
5213	PHF13	0.135
5214	GPR37	0.135
5215	MELK	0.135
5216	ZCCHC6	0.135
5217	TUBGCP6	0.135
5218	CACHD1	0.135
5219	GSPT1	0.135
5220	DEPDC7	0.135
5221	ZNF211	0.135
5222	C1QL2	0.135
5223	GT(ROSA)26SOR	0.135
5224	SHC2	0.135
5225	POPDC3	0.135
5226	DOCK11	0.135
5227	RBMXL1	0.134
5228	DNAJC2	0.134
5229	GAL3ST1	0.134
5230	MTERFD3	0.134
5231	ACTR5	0.134
5232	RSRC1	0.134
5233	CEND1	0.134
5234	C14ORF132	0.134
5235	SLC25A14	0.134
5236	TAF8	0.134
5237	HEXDC	0.134
5238	ZFHX2	0.134
5239	FGD5	0.134
5240	PRR14	0.134
5241	EGLN1	0.134
5242	C7ORF73	0.134
5243	CNTNAP3	0.134
5244	NOL11	0.134
5245	ARL6IP1	0.134
5246	ZNF415	0.134
5247	CCDC85C	0.134
5248	COPA	0.134
5249	GPR135	0.134
5250	TRAF3IP1	0.134
5251	RRN3	0.134
5252	DMWD	0.134
5253	GPR37L1	0.134
5254	TTC21B	0.134
5255	TAC3	0.134
5256	MCU	0.134
5257	RAVER1	0.134
5258	SPINT2	0.134
5259	USP3	0.134
5260	PTMS	0.134
5261	ZNF655	0.134
5262	RAB2B	0.134
5263	ZNF43	0.134
5264	NASP	0.134
5265	PFKL	0.134
5266	PLS1	0.134
5267	METTL16	0.134
5268	UBL7	0.134
5269	ZNF44	0.133
5270	LRRC24	0.133
5271	KIAA1033	0.133
5272	ZNF514	0.133
5273	C1ORF216	0.133
5274	NRF1	0.133
5275	OR7A17	0.133
5276	GPC2	0.133
5277	FBXW7	0.133
5278	CYTH1	0.133
5279	NSMAF	0.133
5280	TBCD	0.133
5281	PLK4	0.133
5282	PI4K2A	0.133
5283	MARK2	0.133
5284	C12ORF68	0.133
5285	FCRL6	0.133
5286	PPID	0.133
5287	RNF220	0.133
5288	ZC3H12B	0.133
5289	ARL13B	0.133
5290	PDCD7	0.133
5291	KIAA1841	0.133
5292	SOCS4	0.133
5293	PIAS3	0.133
5294	ZNF319	0.133
5295	TUBD1	0.133
5296	RAB6B	0.133
5297	YES1	0.133
5298	ZBTB22	0.133
5299	CASP3	0.133
5300	RBM17	0.133
5301	C11ORF57	0.133
5302	UTP14C	0.133
5303	MED16	0.133
5304	SUV420H2	0.133
5305	C15ORF57	0.133
5306	BSDC1	0.133
5307	HIP1R	0.133
5308	1-Sep	0.133
5309	UGGT2	0.133
5310	MESDC1	0.133
5311	BEX1	0.133
5312	ARL16	0.133
5313	MRAS	0.133
5314	BZW1	0.133
5315	PLEKHA2	0.133
5316	TTLL11	0.133
5317	CPLX3	0.132
5318	KLHL38	0.132
5319	RNF217	0.132
5320	KPNA7	0.132
5321	B4GALT3	0.132
5322	PDCD11	0.132
5323	EDC4	0.132
5324	OR51B5	0.132
5325	CASKIN2	0.132
5326	ARMCX4	0.132
5327	IQCJ-SCHIP1	0.132
5328	RFPL2	0.132
5329	KIAA1598	0.132
5330	LRRC1	0.132
5331	ATF6B	0.132
5332	PDE9A	0.132
5333	ORC2	0.132
5334	KIAA1279	0.132
5335	C2ORF40	0.132
5336	KIAA1024	0.132
5337	HYOU1	0.132
5338	POLR1B	0.132
5339	PHF15	0.132
5340	ZFYVE1	0.132
5341	USF1	0.132
5342	RAVER2	0.132
5343	C16ORF87	0.132
5344	NAE1	0.132
5345	SQLE	0.132
5346	CACNG7	0.132
5347	DLC1	0.132
5348	GPATCH2L	0.131
5349	NDRG2	0.131
5350	GCNT2	0.131
5351	TMEM170A	0.131
5352	PITPNM1	0.131
5353	PHTF1	0.131
5354	LGR4	0.131
5355	GPT2	0.131
5356	JMJD4	0.131
5357	BCL6	0.131
5358	TSPAN17	0.131
5359	TRIM68	0.131
5360	FYCO1	0.131
5361	MFSD2A	0.131
5362	NOL8	0.131
5363	VWA1	0.131
5364	RASSF5	0.131
5365	PLCD3	0.131
5366	SENP8	0.131
5367	KIN	0.131
5368	ABHD6	0.131
5369	CMPK1	0.131
5370	ZNF777	0.131
5371	ACTBL2	0.131
5372	KIFC3	0.131
5373	CNNM2	0.131
5374	DDA1	0.131
5375	ZFP112	0.131
5376	GOLGB1	0.131
5377	TMEM135	0.131
5378	NUB1	0.131
5379	LEPREL2	0.131
5380	TRAPPC2	0.131
5381	CNTD1	0.131
5382	AADACL3	0.131
5383	SLC25A46	0.131
5384	GNG8	0.131
5385	CMTM4	0.131
5386	FAM21C	0.131
5387	AMIGO3	0.131
5388	CAAP1	0.131
5389	ZNF641	0.131
5390	GAREM	0.131
5391	CLDN12	0.131
5392	KIAA0226	0.131
5393	PCNXL4	0.131
5394	NEK6	0.131
5395	RNF144A	0.131
5396	TRIM4	0.131
5397	ITIH3	0.131
5398	BEX2	0.131
5399	CRK	0.131
5400	SASS6	0.131
5401	ZNF846	0.131
5402	ZWINT	0.131
5403	ZNF766	0.131
5404	C5ORF51	0.13
5405	OR5P3	0.13
5406	RFX4	0.13
5407	PTPN11	0.13
5408	DCAF10	0.13
5409	TTC29	0.13
5410	C2ORF43	0.13
5411	GPRIN2	0.13
5412	EID2B	0.13
5413	PPP2R5D	0.13
5414	ACHE	0.13
5415	PLCXD1	0.13
5416	PAQR7	0.13
5417	MYL6B	0.13
5418	ANKRD13A	0.13
5419	TPM1	0.13
5420	VBP1	0.13
5421	ANKHD1	0.13
5422	ZNF286A	0.13
5423	ACRC	0.13
5424	FADS2	0.13
5425	DPM1	0.13
5426	CA8	0.13
5427	COG5	0.13
5428	KCNJ11	0.13
5429	SRC	0.13
5430	PHKG2	0.13
5431	KANSL2	0.13
5432	GMPS	0.13
5433	GDAP2	0.13
5434	UBE2R2	0.13
5435	HCCS	0.13
5436	NFYA	0.13
5437	KIAA0754	0.13
5438	KCNK12	0.13
5439	MOSPD2	0.13
5440	GATM	0.13
5441	CDKL5	0.13
5442	SLX4IP	0.13
5443	RAB18	0.13
5444	GLUD1	0.13
5445	KAT2B	0.13
5446	PRKD1	0.13
5447	FLOT2	0.13
5448	WDR85	0.13
5449	DEPDC1B	0.13
5450	MYO9B	0.13
5451	NWD1	0.13
5452	TUBGCP3	0.13
5453	MPP7	0.13
5454	BMPR1B	0.13
5455	C2ORF76	0.13
5456	TCEAL7	0.13
5457	AAED1	0.13
5458	TFG	0.13
5459	WDR90	0.13
5460	C1ORF52	0.13
5461	NAA60	0.13
5462	SYNPO	0.13
5463	THAP9	0.13
5464	EXOG	0.129
5465	TCEA1	0.129
5466	SLC44A5	0.129
5467	ACTR6	0.129
5468	GTPBP1	0.129
5469	WSCD1	0.129
5470	HAUS6	0.129
5471	NAGPA	0.129
5472	METTL2A	0.129
5473	PER2	0.129
5474	ZSCAN29	0.129
5475	WDR52	0.129
5476	PICK1	0.129
5477	ZNF577	0.129
5478	UBA1	0.129
5479	FBXL6	0.129
5480	ZNF232	0.129
5481	RING1	0.129
5482	RBM28	0.129
5483	FAM227A	0.129
5484	REEP3	0.129
5485	ABCD3	0.129
5486	PHLDB1	0.129
5487	TCEB3	0.129
5488	ING2	0.129
5489	MLC1	0.129
5490	PLXDC2	0.129
5491	TMTC3	0.129
5492	PNMA6C	0.129
5493	RASD1	0.129
5494	KIAA1324	0.129
5495	MRGPRX2	0.129
5496	WDR66	0.129
5497	ADO	0.129
5498	MKRN3	0.129
5499	SF3B2	0.129
5500	ZNF518B	0.129
5501	ZBTB1	0.129
5502	ZNF546	0.129
5503	ZNF268	0.129
5504	CDCP2	0.129
5505	MZF1	0.129
5506	TPCN1	0.129
5507	RNASE13	0.129
5508	ZNF563	0.129
5509	SDK2	0.128
5510	CAMK1	0.128
5511	MTRF1L	0.128
5512	TTC5	0.128
5513	ZNF629	0.128
5514	FBF1	0.128
5515	LRRIQ1	0.128
5516	NARF	0.128
5517	UTP6	0.128
5518	SLC35D3	0.128
5519	TRIM45	0.128
5520	ARF5	0.128
5521	PAK2	0.128
5522	FBXW9	0.128
5523	LRRC8C	0.128
5524	UNC45A	0.128
5525	HGS	0.128
5526	SUV39H2	0.128
5527	EFHB	0.128
5528	PPP2R2D	0.128
5529	WNK3	0.128
5530	CNTROB	0.128
5531	NOTCH2NL	0.128
5532	ZNF107	0.128
5533	TTC31	0.128
5534	PCDHGA4	0.128
5535	WBP11	0.128
5536	LRRC14B	0.128
5537	SRGAP1	0.128
5538	ZBTB25	0.128
5539	CNTLN	0.128
5540	SLC35E1	0.128
5541	IFT57	0.128
5542	C4ORF3	0.128
5543	FBXO31	0.128
5544	SNX18	0.128
5545	NIPAL2	0.128
5546	CCDC47	0.128
5547	SCAP	0.128
5548	KATNB1	0.128
5549	HIST1H2AD	0.128
5550	TBC1D20	0.128
5551	RNF216	0.128
5552	RBM34	0.128
5553	ZNF540	0.128
5554	PLEKHG4	0.128
5555	NDUFAF4	0.127
5556	RLIM	0.127
5557	LRRC48	0.127
5558	SAP130	0.127
5559	NEK8	0.127
5560	GTPBP5	0.127
5561	TRIM58	0.127
5562	CASP9	0.127
5563	LGALSL	0.127
5564	SMIM8	0.127
5565	SH3RF2	0.127
5566	TVP23A	0.127
5567	CTNNAL1	0.127
5568	ANKRD37	0.127
5569	INPP1	0.127
5570	IFFO1	0.127
5571	SLC45A4	0.127
5572	YWHAB	0.127
5573	LIMD2	0.127
5574	DNMBP	0.127
5575	NOL10	0.127
5576	GNAZ	0.127
5577	KIFAP3	0.127
5578	SLC35A3	0.127
5579	SMC2	0.127
5580	OSGIN2	0.127
5581	HTR1E	0.127
5582	FAM177A1	0.127
5583	DCAF4	0.127
5584	ZSCAN16	0.127
5585	SCML1	0.127
5586	TBC1D15	0.127
5587	METTL11B	0.127
5588	SPSB4	0.127
5589	EFCAB2	0.127
5590	ZNF704	0.127
5591	LINGO4	0.127
5592	PIK3IP1	0.127
5593	KDM5D	0.127
5594	TDRKH	0.127
5595	POLK	0.126
5596	PRAMEF8	0.126
5597	ZNF720	0.126
5598	TMEM80	0.126
5599	GPR124	0.126
5600	ZNF331	0.126
5601	NUDCD1	0.126
5602	ZHX2	0.126
5603	FAM106A	0.126
5604	APBB3	0.126
5605	KANK3	0.126
5606	C3ORF80	0.126
5607	MMGT1	0.126
5608	MAPK12	0.126
5609	IQUB	0.126
5610	DCBLD1	0.126
5611	LHX8	0.126
5612	ANKRD35	0.126
5613	NPNT	0.126
5614	MEX3A	0.126
5615	AGBL5	0.126
